year,section,section_name,total_records,spawn_index_t,total_length_m,mean_width_m,surface_t,macrocystis_t,understory_t,spawn_date_xbar,spawn_date_sd,spawn_date_min,spawn_date_max,dive_survey_percent,latitude,longitude
1955,023,Naden Harbour,0,0.0,0,0.0,0.0,0.0,0.0,NA,NA,NA,NA,0,NA,NA
1955,024,Laskeek Bay,0,0.0,0,0.0,0.0,0.0,0.0,NA,NA,NA,NA,0,NA,NA
1955,025,Skincuttle Inlet,2,238.0,1005,5.5,238.0,0.0,0.0,99.0,1.4,98,100,0,52.2996,-131.2718
1956,006,Louscoone Inlet,0,0.0,0,0.0,0.0,0.0,0.0,NA,NA,NA,NA,0,NA,NA
1956,021,Juan Perez Sound,1,60.5,804,3.0,60.5,0.0,0.0,95.0,0,95,95,0,52.3775,-131.3569
1956,023,Naden Harbour,0,0.0,0,0.0,0.0,0.0,0.0,NA,NA,NA,NA,0,NA,NA
1956,024,Laskeek Bay,0,0.0,0,0.0,0.0,0.0,0.0,NA,NA,NA,NA,0,NA,NA
1956,025,Skincuttle Inlet,9,5981.8,20162,6.8,5981.8,0.0,0.0,92.2,6.4,87,100,0,52.3074,-131.2821
1957,006,Louscoone Inlet,0,0.0,0,0.0,0.0,0.0,0.0,NA,NA,NA,NA,0,NA,NA
1957,021,Juan Perez Sound,2,1592.0,4708,8.0,1592.0,0.0,0.0,95.0,0.0,95,95,0,52.3775,-131.3569
1957,023,Naden Harbour,0,0.0,0,0.0,0.0,0.0,0.0,NA,NA,NA,NA,0,NA,NA
1957,024,Laskeek Bay,0,0.0,0,0.0,0.0,0.0,0.0,NA,NA,NA,NA,0,NA,NA
1957,025,Skincuttle Inlet,0,0.0,0,0.0,0.0,0.0,0.0,NA,NA,NA,NA,0,NA,NA
1958,006,Louscoone Inlet,0,0.0,0,0.0,0.0,0.0,0.0,NA,NA,NA,NA,0,NA,NA
1958,021,Juan Perez Sound,1,670.6,1828,9.0,670.6,0.0,0.0,81.0,0,81,81,0,52.3775,-131.3569
1958,023,Naden Harbour,0,0.0,0,0.0,0.0,0.0,0.0,NA,NA,NA,NA,0,NA,NA
1958,024,Laskeek Bay,0,0.0,0,0.0,0.0,0.0,0.0,NA,NA,NA,NA,0,NA,NA
1958,025,Skincuttle Inlet,2,144.0,731,5.0,144.0,0.0,0.0,84.0,4.2,81,87,0,52.3107,-131.269
1959,006,Louscoone Inlet,1,638.2,3199,9.0,638.2,0.0,0.0,97.0,0,97,97,0,52.1708,-131.2294
1959,021,Juan Perez Sound,1,490.6,1828,11.0,490.6,0.0,0.0,78.0,0,78,78,0,52.3775,-131.3569
1959,023,Naden Harbour,0,0.0,0,0.0,0.0,0.0,0.0,NA,NA,NA,NA,0,NA,NA
1959,024,Laskeek Bay,1,1288.4,5667,11.0,1288.4,0.0,0.0,108.0,0,108,108,0,52.6997,-131.5625
1959,025,Skincuttle Inlet,4,6564.1,14076,10.2,6564.1,0.0,0.0,81.0,6.0,78,90,0,52.3313,-131.3308
1960,006,Louscoone Inlet,3,2163.3,6124,33.7,2163.3,0.0,0.0,97.7,0.6,97,98,0,52.1708,-131.2294
1960,021,Juan Perez Sound,1,2415.4,4753,18.0,2415.4,0.0,0.0,84.0,0,84,84,0,52.3775,-131.3569
1960,023,Naden Harbour,0,0.0,0,0.0,0.0,0.0,0.0,NA,NA,NA,NA,0,NA,NA
1960,024,Laskeek Bay,1,120.0,731,27.0,120.0,0.0,0.0,115.0,0,115,115,0,52.6964,-131.6267
1960,025,Skincuttle Inlet,1,1900.2,3108,18.0,1900.2,0.0,0.0,84.0,0,84,84,0,52.3081,-131.3394
1961,006,Louscoone Inlet,3,1176.4,7221,5.0,1176.4,0.0,0.0,83.0,0.0,83,83,0,52.1708,-131.2294
1961,021,Juan Perez Sound,2,3212.2,15615,5.0,3212.2,0.0,0.0,85.0,0.0,85,85,0,52.4003,-131.3597
1961,023,Naden Harbour,0,0.0,0,0.0,0.0,0.0,0.0,NA,NA,NA,NA,0,NA,NA
1961,024,Laskeek Bay,0,0.0,0,0.0,0.0,0.0,0.0,NA,NA,NA,NA,0,NA,NA
1961,025,Skincuttle Inlet,2,4592.9,6033,15.0,4592.9,0.0,0.0,85.0,0.0,85,85,0,52.3267,-131.306
1962,006,Louscoone Inlet,1,547.0,2742,14.0,547.0,0.0,0.0,96.0,0,96,96,0,52.1708,-131.2294
1962,021,Juan Perez Sound,2,1208.8,3656,10.0,1208.8,0.0,0.0,81.5,2.1,80,83,0,52.4003,-131.3597
1962,023,Naden Harbour,0,0.0,0,0.0,0.0,0.0,0.0,NA,NA,NA,NA,0,NA,NA
1962,024,Laskeek Bay,1,37.6,548,9.0,37.6,0.0,0.0,81.0,0,81,81,0,52.8756,-131.9897
1962,025,Skincuttle Inlet,4,3936.8,8408,82.2,3936.8,0.0,0.0,80.8,1.5,80,83,0,52.3094,-131.3042
1963,006,Louscoone Inlet,0,0.0,0,0.0,0.0,0.0,0.0,NA,NA,NA,NA,0,NA,NA
1963,021,Juan Perez Sound,1,68.6,548,9.0,68.6,0.0,0.0,87.0,0,87,87,0,52.4231,-131.3625
1963,023,Naden Harbour,0,0.0,0,0.0,0.0,0.0,0.0,NA,NA,NA,NA,0,NA,NA
1963,024,Laskeek Bay,1,12.6,183,9.0,12.6,0.0,0.0,111.0,0,111,111,0,52.8756,-131.9897
1963,025,Skincuttle Inlet,6,7215.9,11379,19.5,7215.9,0.0,0.0,85.3,3.5,81,90,0,52.3499,-131.2678
1964,006,Louscoone Inlet,4,909.1,4753,14.8,909.1,0.0,0.0,62.0,3.5,59,67,0,52.1708,-131.2294
1964,021,Juan Perez Sound,3,2553.4,6855,23.0,2553.4,0.0,0.0,74.3,7.5,70,83,0,52.3881,-131.3752
1964,023,Naden Harbour,0,0.0,0,0.0,0.0,0.0,0.0,NA,NA,NA,NA,0,NA,NA
1964,024,Laskeek Bay,0,0.0,0,0.0,0.0,0.0,0.0,NA,NA,NA,NA,0,NA,NA
1964,025,Skincuttle Inlet,2,642.0,1371,22.5,642.0,0.0,0.0,76.0,1.4,75,77,0,52.3003,-131.3076
1965,006,Louscoone Inlet,2,169.0,1828,9.0,169.0,0.0,0.0,79.0,0.0,79,79,0,52.1708,-131.2294
1965,021,Juan Perez Sound,2,938.7,2559,9.0,938.7,0.0,0.0,94.0,0.0,94,94,0,52.3775,-131.3569
1965,023,Naden Harbour,0,0.0,0,0.0,0.0,0.0,0.0,NA,NA,NA,NA,0,NA,NA
1965,024,Laskeek Bay,2,270.6,1828,7.0,270.6,0.0,0.0,87.0,1.4,86,88,0,52.8756,-131.9897
1965,025,Skincuttle Inlet,0,0.0,0,0.0,0.0,0.0,0.0,NA,NA,NA,NA,0,NA,NA
1966,006,Louscoone Inlet,0,0.0,0,0.0,0.0,0.0,0.0,NA,NA,NA,NA,0,NA,NA
1966,021,Juan Perez Sound,8,2691.5,8591,27.0,2691.5,0.0,0.0,104.0,5.9,95,111,0,52.3769,-131.3611
1966,023,Naden Harbour,0,0.0,0,0.0,0.0,0.0,0.0,NA,NA,NA,NA,0,NA,NA
1966,024,Laskeek Bay,1,37.6,548,6.0,37.6,0.0,0.0,95.0,0,95,95,0,52.8756,-131.9897
1966,025,Skincuttle Inlet,3,95.3,603,13.0,95.3,0.0,0.0,99.0,7.8,94,108,0,52.3472,-131.3617
1967,006,Louscoone Inlet,1,4.6,69,5.0,4.6,0.0,0.0,84.0,0,84,84,0,52.1708,-131.2294
1967,021,Juan Perez Sound,2,619.7,1463,34.5,619.7,0.0,0.0,101.5,7.8,96,107,0,52.4092,-131.4117
1967,023,Naden Harbour,3,58.9,389,18.7,58.9,0.0,0.0,110.0,0.0,110,110,0,53.0324,-131.9384
1967,024,Laskeek Bay,1,27.1,183,1.0,27.1,0.0,0.0,107.0,0,107,107,0,52.8756,-131.9897
1967,025,Skincuttle Inlet,0,0.0,0,0.0,0.0,0.0,0.0,NA,NA,NA,NA,0,NA,NA
1968,006,Louscoone Inlet,1,18.7,457,9.0,18.7,0.0,0.0,102.0,0,102,102,0,52.1708,-131.2294
1968,021,Juan Perez Sound,7,657.6,1851,8.0,657.6,0.0,0.0,99.9,5.4,92,103,0,52.3657,-131.3656
1968,023,Naden Harbour,0,0.0,0,0.0,0.0,0.0,0.0,NA,NA,NA,NA,0,NA,NA
1968,024,Laskeek Bay,0,0.0,0,0.0,0.0,0.0,0.0,NA,NA,NA,NA,0,NA,NA
1968,025,Skincuttle Inlet,3,156.9,480,6.0,156.9,0.0,0.0,93.3,1.2,92,94,0,52.3321,-131.3537
1969,006,Louscoone Inlet,0,0.0,0,0.0,0.0,0.0,0.0,NA,NA,NA,NA,0,NA,NA
1969,021,Juan Perez Sound,1,1764.9,3473,23.0,1764.9,0.0,0.0,119.0,0,119,119,0,52.3775,-131.3569
1969,023,Naden Harbour,0,0.0,0,0.0,0.0,0.0,0.0,NA,NA,NA,NA,0,NA,NA
1969,024,Laskeek Bay,0,0.0,0,0.0,0.0,0.0,0.0,NA,NA,NA,NA,0,NA,NA
1969,025,Skincuttle Inlet,1,310.0,366,69.0,310.0,0.0,0.0,121.0,0,121,121,0,52.3081,-131.3394
1970,006,Louscoone Inlet,3,158.0,915,48.7,158.0,0.0,0.0,95.0,2.6,93,98,0,52.1708,-131.2294
1970,021,Juan Perez Sound,4,548.4,1532,57.0,548.4,0.0,0.0,93.2,2.5,92,97,0,52.3718,-131.4016
1970,023,Naden Harbour,14,2575.8,6290,118.1,2575.8,0.0,0.0,92.8,4.7,89,108,0,53.04,-131.7901
1970,024,Laskeek Bay,1,31.3,137,5.0,31.3,0.0,0.0,102.0,0,102,102,0,52.7169,-131.8156
1970,025,Skincuttle Inlet,5,2238.6,3199,82.4,2238.6,0.0,0.0,95.0,2.7,92,97,0,52.3081,-131.3394
1971,006,Louscoone Inlet,1,821.8,5630,23.0,821.8,0.0,0.0,114.0,0,114,114,0,52.1708,-131.2294
1971,021,Juan Perez Sound,1,5224.0,8043,27.0,5224.0,0.0,0.0,95.0,0,95,95,0,52.3775,-131.3569
1971,023,Naden Harbour,3,7245.0,12787,15.0,7245.0,0.0,0.0,134.7,18.9,113,148,0,53.0297,-131.8631
1971,024,Laskeek Bay,0,0.0,0,0.0,0.0,0.0,0.0,NA,NA,NA,NA,0,NA,NA
1971,025,Skincuttle Inlet,0,0.0,0,0.0,0.0,0.0,0.0,NA,NA,NA,NA,0,NA,NA
1972,006,Louscoone Inlet,15,1555.6,8092,14.0,1555.6,0.0,0.0,87.5,2.3,80,89,0,52.1708,-131.2294
1972,021,Juan Perez Sound,0,0.0,0,0.0,0.0,0.0,0.0,NA,NA,NA,NA,0,NA,NA
1972,023,Naden Harbour,4,5960.4,11069,15.2,5960.4,0.0,0.0,113.5,13.0,94,120,0,53.0425,-131.7786
1972,024,Laskeek Bay,1,64.9,777,18.0,64.9,0.0,0.0,114.0,0,114,114,0,52.8372,-131.8714
1972,025,Skincuttle Inlet,5,1961.5,6398,21.8,1961.5,0.0,0.0,97.4,2.2,95,99,0,52.2761,-131.2656
1973,006,Louscoone Inlet,12,3022.7,16132,10.9,3022.7,0.0,0.0,91.0,0.0,91,91,0,52.1708,-131.2294
1973,021,Juan Perez Sound,0,0.0,0,0.0,0.0,0.0,0.0,NA,NA,NA,NA,0,NA,NA
1973,023,Naden Harbour,18,1510.6,11242,25.7,1510.6,0.0,0.0,102.0,6.9,87,105,0,53.0315,-131.853
1973,024,Laskeek Bay,0,0.0,0,0.0,0.0,0.0,0.0,NA,NA,NA,NA,0,NA,NA
1973,025,Skincuttle Inlet,16,3426.4,6873,29.0,3426.4,0.0,0.0,102.4,4.4,91,104,0,52.3271,-131.2688
1974,006,Louscoone Inlet,3,2198.4,11608,15.3,2198.4,0.0,0.0,79.3,1.5,78,81,0,52.1708,-131.2294
1974,021,Juan Perez Sound,0,0.0,0,0.0,0.0,0.0,0.0,NA,NA,NA,NA,0,NA,NA
1974,023,Naden Harbour,11,1403.1,7328,13.5,1403.1,0.0,0.0,110.4,26.0,90,148,0,53.0458,-131.8797
1974,024,Laskeek Bay,0,0.0,0,0.0,0.0,0.0,0.0,NA,NA,NA,NA,0,NA,NA
1974,025,Skincuttle Inlet,15,10908.3,23329,13.6,10908.3,0.0,0.0,95.3,8.5,84,105,0,52.3211,-131.2522
1975,006,Louscoone Inlet,8,2389.8,9711,18.5,2389.8,0.0,0.0,88.8,5.8,75,93,0,52.1708,-131.2294
1975,021,Juan Perez Sound,0,0.0,0,0.0,0.0,0.0,0.0,NA,NA,NA,NA,0,NA,NA
1975,023,Naden Harbour,10,2099.5,11013,7.4,2099.5,0.0,0.0,127.3,18.2,100,148,0,53.0333,-131.8745
1975,024,Laskeek Bay,0,0.0,0,0.0,0.0,0.0,0.0,NA,NA,NA,NA,0,NA,NA
1975,025,Skincuttle Inlet,6,5196.5,11699,13.5,5196.5,0.0,0.0,95.3,4.5,89,99,0,52.3146,-131.2623
1976,006,Louscoone Inlet,30,3736.1,19981,13.5,3736.1,0.0,0.0,100.4,7.2,97,116,0,52.1708,-131.2294
1976,021,Juan Perez Sound,6,4235.9,12248,7.3,4235.9,0.0,0.0,100.8,4.0,96,105,0,52.4205,-131.3282
1976,023,Naden Harbour,10,1628.1,9506,12.6,1628.1,0.0,0.0,135.1,24.3,104,168,0,53.0316,-131.8968
1976,024,Laskeek Bay,3,226.3,1919,9.0,226.3,0.0,0.0,111.0,0.0,111,111,0,52.9292,-131.9058
1976,025,Skincuttle Inlet,14,6159.7,15035,11.7,6159.7,0.0,0.0,98.4,11.2,76,110,0,52.3063,-131.2851
1977,006,Louscoone Inlet,16,1252.2,11470,5.1,1252.2,0.0,0.0,85.4,6.3,69,92,0,52.1763,-131.2455
1977,021,Juan Perez Sound,8,3977.5,17824,8.4,3977.5,0.0,0.0,90.2,1.0,88,91,0,52.4484,-131.2781
1977,023,Naden Harbour,11,1820.4,13344,15.6,1820.4,0.0,0.0,115.5,19.9,91,138,0,53.0447,-131.9112
1977,024,Laskeek Bay,0,0.0,0,0.0,0.0,0.0,0.0,NA,NA,NA,NA,0,NA,NA
1977,025,Skincuttle Inlet,8,8667.3,19742,8.6,8667.3,0.0,0.0,90.2,3.8,83,95,0,52.3153,-131.2931
1978,006,Louscoone Inlet,11,502.1,5578,14.7,502.1,0.0,0.0,81.8,8.8,76,104,0,52.1748,-131.2411
1978,021,Juan Perez Sound,19,3353.5,11333,20.2,3353.5,0.0,0.0,107.5,3.9,93,114,0,52.4383,-131.2947
1978,023,Naden Harbour,11,2229.9,13071,29.9,2229.9,0.0,0.0,114.6,20.3,91,144,0,53.0404,-131.9179
1978,024,Laskeek Bay,1,60.8,1645,6.0,60.8,0.0,0.0,109.0,0,109,109,0,52.8586,-131.8681
1978,025,Skincuttle Inlet,20,10739.1,18098,21.9,10739.1,0.0,0.0,95.4,10.3,82,108,0,52.3102,-131.2847
1979,006,Louscoone Inlet,9,457.1,3042,22.3,457.1,0.0,0.0,94.3,2.5,88,96,0,52.1806,-131.2579
1979,021,Juan Perez Sound,16,1020.8,4278,16.2,1020.8,0.0,0.0,97.5,1.5,96,100,0,52.4289,-131.3529
1979,023,Naden Harbour,33,3028.0,9594,17.2,3028.0,0.0,0.0,123.9,18.0,102,152,0,53.0371,-131.9028
1979,024,Laskeek Bay,16,494.4,4274,9.5,494.4,0.0,0.0,117.2,3.3,105,119,0,52.8211,-131.8395
1979,025,Skincuttle Inlet,19,9289.0,16405,17.6,9289.0,0.0,0.0,99.5,3.0,91,103,0,52.2906,-131.2564
1980,006,Louscoone Inlet,23,695.2,7009,25.0,695.2,0.0,0.0,82.6,4.4,80,99,0,52.1776,-131.2369
1980,021,Juan Perez Sound,92,11911.9,25005,25.1,11911.9,0.0,0.0,92.4,4.7,85,108,0,52.4426,-131.3084
1980,023,Naden Harbour,0,0.0,0,0.0,0.0,0.0,0.0,NA,NA,NA,NA,0,NA,NA
1980,024,Laskeek Bay,6,828.9,6418,15.7,828.9,0.0,0.0,107.8,4.5,106,117,0,52.7089,-131.6022
1980,025,Skincuttle Inlet,38,17019.2,30485,22.2,17019.2,0.0,0.0,88.7,9.8,69,117,0,52.3403,-131.313
1981,006,Louscoone Inlet,10,217.9,3749,52.6,217.9,0.0,0.0,75.6,11.7,62,86,0,52.184,-131.2679
1981,021,Juan Perez Sound,84,8281.0,23850,24.8,8281.0,0.0,0.0,85.1,9.3,77,107,0,52.4462,-131.4096
1981,023,Naden Harbour,26,1184.6,6521,15.8,1184.6,0.0,0.0,125.7,36.1,91,176,0,53.0333,-131.9015
1981,024,Laskeek Bay,40,2444.2,14076,23.2,2444.2,0.0,0.0,102.8,3.7,97,106,0,52.8199,-131.8052
1981,025,Skincuttle Inlet,71,6695.1,26607,31.0,6695.1,0.0,0.0,75.9,9.7,60,97,0,52.3326,-131.2925
1982,006,Louscoone Inlet,12,590.9,6196,64.7,590.9,0.0,0.0,71.8,8.4,65,91,0,52.1891,-131.2829
1982,021,Juan Perez Sound,21,4676.5,13162,23.2,4676.5,0.0,0.0,82.0,5.9,76,91,0,52.4858,-131.4285
1982,023,Naden Harbour,5,328.8,2294,15.2,328.8,0.0,0.0,92.0,2.2,91,96,0,53.052,-131.8593
1982,024,Laskeek Bay,8,1572.4,5603,20.6,1572.4,0.0,0.0,94.9,0.4,94,95,0,52.8692,-131.8154
1982,025,Skincuttle Inlet,54,14990.2,34722,24.2,14990.2,0.0,0.0,73.9,6.5,66,91,0,52.3447,-131.3021
1983,006,Louscoone Inlet,16,481.8,5123,28.5,481.8,0.0,0.0,73.0,0.0,73,73,0,52.1708,-131.2294
1983,021,Juan Perez Sound,27,12393.1,22964,22.0,12393.1,0.0,0.0,85.3,9.4,73,102,0,52.4516,-131.339
1983,023,Naden Harbour,20,758.7,6285,25.8,758.7,0.0,0.0,98.4,10.6,95,141,0,53.0439,-131.8664
1983,024,Laskeek Bay,41,2832.8,16416,16.0,2832.8,0.0,0.0,96.0,1.8,95,104,0,52.8698,-131.9407
1983,025,Skincuttle Inlet,17,3003.1,5771,28.4,3003.1,0.0,0.0,75.7,21.7,60,129,0,52.3371,-131.284
1984,006,Louscoone Inlet,3,325.1,2850,9.0,325.1,0.0,0.0,66.0,0.0,66,66,0,52.1708,-131.2294
1984,021,Juan Perez Sound,36,10104.2,16670,17.4,10104.2,0.0,0.0,89.1,7.8,68,108,0,52.4803,-131.3645
1984,023,Naden Harbour,12,1234.6,5560,14.6,1234.6,0.0,0.0,108.7,26.5,85,145,0,53.0406,-131.9024
1984,024,Laskeek Bay,31,2448.3,11650,11.9,2448.3,0.0,0.0,106.7,11.3,102,149,0,52.8955,-131.8487
1984,025,Skincuttle Inlet,32,8007.5,17770,40.5,8007.5,0.0,0.0,77.8,6.5,72,89,0,52.3148,-131.2723
1985,006,Louscoone Inlet,2,343.0,4700,12.5,343.0,0.0,0.0,76.0,0.0,76,76,0,52.1708,-131.2294
1985,021,Juan Perez Sound,24,6098.8,16305,24.0,6098.8,0.0,0.0,92.1,3.8,83,96,0,52.4749,-131.3624
1985,023,Naden Harbour,11,902.9,4800,19.2,902.9,0.0,0.0,95.0,0.0,95,95,0,53.0455,-131.7912
1985,024,Laskeek Bay,3,1084.9,5250,30.7,1084.9,0.0,0.0,105.0,0.0,105,105,0,52.8594,-131.7936
1985,025,Skincuttle Inlet,22,8802.6,17670,23.2,8802.6,0.0,0.0,90.3,1.0,89,91,0,52.2911,-131.2356
1986,006,Louscoone Inlet,0,0.0,0,0.0,0.0,0.0,0.0,NA,NA,NA,NA,0,NA,NA
1986,021,Juan Perez Sound,17,3138.2,8786,22.6,3138.2,0.0,0.0,96.3,0.5,96,97,0,52.4476,-131.2747
1986,023,Naden Harbour,4,512.6,4975,8.2,512.6,0.0,0.0,118.0,0.0,118,118,0,53.0592,-131.8478
1986,024,Laskeek Bay,20,1820.5,4905,7.2,1820.5,0.0,0.0,117.4,5.6,109,121,0,52.9006,-131.8472
1986,025,Skincuttle Inlet,2,207.8,1470,40.0,207.8,0.0,0.0,98.5,3.5,96,101,0,52.3281,-131.2771
1987,006,Louscoone Inlet,4,158.7,2605,13.0,158.7,0.0,0.0,80.2,10.5,75,96,0,52.1708,-131.2294
1987,021,Juan Perez Sound,44,5167.7,13730,18.1,5167.7,0.0,0.0,102.8,3.9,87,106,0,52.4663,-131.3668
1987,023,Naden Harbour,7,1321.2,6400,9.1,1321.2,0.0,0.0,104.9,5.8,92,108,0,52.9974,-131.8961
1987,024,Laskeek Bay,7,569.1,7125,5.0,569.1,0.0,0.0,108.0,0.0,108,108,0,52.8792,-131.8232
1987,025,Skincuttle Inlet,27,3533.2,14835,23.7,3533.2,0.0,0.0,72.3,6.6,66,82,0,52.3139,-131.2789
1988,006,Louscoone Inlet,20,1096.3,12050,7.6,1096.3,0.0,0.0,99.6,2.0,98,102,0,52.2035,-131.2843
1988,021,Juan Perez Sound,11,7349.2,11722,75.2,562.5,333.0,6453.7,95.7,10.5,87,116,45,52.4305,-131.3054
1988,023,Naden Harbour,0,0.0,0,0.0,0.0,0.0,0.0,NA,NA,NA,NA,0,NA,NA
1988,024,Laskeek Bay,4,3456.5,17603,25.8,30.8,1025.3,2400.4,103.0,0.0,103,103,75,52.8794,-131.8188
1988,025,Skincuttle Inlet,11,1728.7,8853,46.4,735.4,22.7,970.6,92.5,3.6,87,95,9,52.3401,-131.3134
1989,006,Louscoone Inlet,6,5117.7,17490,33.5,88.8,998.7,4030.1,102.7,0.5,102,103,33,52.2331,-131.3236
1989,021,Juan Perez Sound,49,11632.3,38545,27.9,3520.1,2553.5,5558.6,108.7,4.4,100,111,20,52.5027,-131.5189
1989,023,Naden Harbour,5,111.9,1140,48.2,111.9,0.0,0.0,107.6,8.8,98,114,0,53.0335,-131.9345
1989,024,Laskeek Bay,27,3263.8,11075,13.0,954.4,236.4,2073.0,118.5,4.9,107,121,4,52.8744,-131.9235
1989,025,Skincuttle Inlet,3,3511.9,17590,54.0,0.0,796.8,2715.1,81.7,11.5,75,95,100,52.2934,-131.2592
1990,006,Louscoone Inlet,2,1958.6,9200,67.0,0.0,275.1,1683.6,96.0,0.0,96,96,100,52.1944,-131.2375
1990,021,Juan Perez Sound,8,15617.1,32090,80.0,0.0,3326.3,12290.9,94.0,0.0,94,94,100,52.4295,-131.3371
1990,023,Naden Harbour,3,441.7,3000,8.7,441.7,0.0,0.0,93.0,0.0,93,93,0,53.0233,-131.9053
1990,024,Laskeek Bay,4,6049.5,13860,60.2,0.0,679.4,5370.1,98.0,0.0,98,98,100,52.8941,-131.8379
1990,025,Skincuttle Inlet,2,1336.7,8380,37.0,0.0,302.6,1034.1,97.0,0.0,97,97,100,52.3886,-131.2853
1991,006,Louscoone Inlet,3,772.7,10050,26.0,0.0,210.4,562.3,85.0,0.0,85,85,100,52.1866,-131.2348
1991,021,Juan Perez Sound,5,11668.1,15790,84.2,0.0,823.5,10844.6,97.0,0.0,97,97,100,52.4407,-131.306
1991,023,Naden Harbour,1,282.7,3600,10.0,282.7,0.0,0.0,91.0,0,91,91,0,53.0592,-131.8478
1991,024,Laskeek Bay,6,2586.5,21420,31.0,0.0,221.0,2365.5,104.0,0.0,104,104,100,52.8643,-131.8191
1991,025,Skincuttle Inlet,2,894.0,4650,31.5,0.0,0.0,894.0,90.0,0.0,90,90,100,52.2674,-131.2525
1992,006,Louscoone Inlet,3,999.7,9250,28.3,0.0,207.4,792.3,100.0,0.0,100,100,100,52.1866,-131.2348
1992,021,Juan Perez Sound,5,4897.7,14890,63.6,0.0,606.9,4290.8,98.0,4.3,94,103,100,52.4407,-131.306
1992,023,Naden Harbour,1,657.3,3800,84.0,0.0,80.4,577.0,107.0,0,107,107,100,53.0461,-131.7489
1992,024,Laskeek Bay,2,2360.3,9000,46.0,0.0,40.0,2320.3,107.5,2.1,106,109,100,52.8699,-131.7832
1992,025,Skincuttle Inlet,3,2152.8,8900,83.0,0.0,143.4,2009.3,92.3,1.5,91,94,100,52.3857,-131.2864
1993,006,Louscoone Inlet,3,277.7,3651,50.3,198.6,14.8,64.3,70.0,0.0,70,70,33,52.1792,-131.2391
1993,021,Juan Perez Sound,4,639.5,4850,37.8,0.0,210.4,429.1,88.0,0.0,88,88,100,52.4322,-131.3228
1993,023,Naden Harbour,1,73.0,1000,50.0,73.0,0.0,0.0,106.0,0,106,106,0,53.0592,-131.8478
1993,024,Laskeek Bay,4,1512.2,16400,30.0,0.0,43.2,1469.0,107.0,0.0,107,107,100,52.8952,-131.9331
1993,025,Skincuttle Inlet,9,4127.4,22050,50.3,0.0,786.5,3340.9,94.7,14.6,83,114,100,52.3392,-131.2525
1994,006,Louscoone Inlet,5,67.0,1700,6.6,67.0,0.0,0.0,70.6,2.2,69,73,0,52.1953,-131.2415
