year,totalrecords,SHI,total_length,mean_width,mean_layers,spawn_date_xbar,spawn_date_sd,spawn_data_weight,spawn_date_min,spawn_date_max,dive_survey_percent,section,section_name,Latitude,Longitude
1955,8,6199.0,17183,6.6,NA,94.5,6.5,6199.0,91,105,0,21,Juan Perez Sound,52.4156,-131.3373
1955,0,0,0,0,0,NA,NA,NA,NA,NA,0,22,Skidegate Inlet,NA,NA
1955,0,0,0,0,0,NA,NA,NA,NA,NA,0,23,Naden Harbour,NA,NA
1955,0,0,0,0,0,NA,NA,NA,NA,NA,0,24,Laskeek Bay,NA,NA
1955,2,238.0,1005,5.5,NA,99.0,1.4,238.0,98,100,0,25,Skincuttle Inlet,52.2996,-131.2718
1956,0,0,0,0,0,NA,NA,NA,NA,NA,0,1,Tasu Sound & Gowgaia Bay,NA,NA
1956,0,0,0,0,0,NA,NA,NA,NA,NA,0,2,Englefield Bay,NA,NA
1956,0,0,0,0,0,NA,NA,NA,NA,NA,0,3,Rennell Sound,NA,NA
1956,0,0,0,0,0,NA,NA,NA,NA,NA,0,4,Cartwright Sound,NA,NA
1956,0,0,0,0,0,NA,NA,NA,NA,NA,0,5,Juan Perez Sound West,NA,NA
1956,0,0,0,0,0,NA,NA,NA,NA,NA,0,6,Louscoone Inlet,NA,NA
1956,0,0,0,0,0,NA,NA,NA,NA,NA,0,11,Masset Inlet,NA,NA
1956,0,0,0,0,0,NA,NA,NA,NA,NA,0,12,Cumshewa Inlet,NA,NA
1956,1,60.5,804,3.0,NA,95.0,0,60.5,95,95,0,21,Juan Perez Sound,52.3775,-131.3569
1956,3,0.4,64,4.3,NA,171.0,0.0,0.4,171,171,0,22,Skidegate Inlet,53.2461,-131.9799
1956,0,0,0,0,0,NA,NA,NA,NA,NA,0,23,Naden Harbour,NA,NA
1956,0,0,0,0,0,NA,NA,NA,NA,NA,0,24,Laskeek Bay,NA,NA
1956,9,5981.8,20162,6.8,NA,92.2,6.4,5981.8,87,100,0,25,Skincuttle Inlet,52.3074,-131.2821
1957,0,0,0,0,0,NA,NA,NA,NA,NA,0,1,Tasu Sound & Gowgaia Bay,NA,NA
1957,0,0,0,0,0,NA,NA,NA,NA,NA,0,2,Englefield Bay,NA,NA
1957,1,3.8,183,5.0,NA,91.0,0,3.8,91,91,0,3,Rennell Sound,53.4875,-132.7486
1957,0,0,0,0,0,NA,NA,NA,NA,NA,0,4,Cartwright Sound,NA,NA
1957,0,0,0,0,0,NA,NA,NA,NA,NA,0,5,Juan Perez Sound West,NA,NA
1957,0,0,0,0,0,NA,NA,NA,NA,NA,0,6,Louscoone Inlet,NA,NA
1957,0,0,0,0,0,NA,NA,NA,NA,NA,0,11,Masset Inlet,NA,NA
1957,0,0,0,0,0,NA,NA,NA,NA,NA,0,12,Cumshewa Inlet,NA,NA
1957,2,1592.0,4708,8.0,NA,95.0,0.0,1592.0,95,95,0,21,Juan Perez Sound,52.3775,-131.3569
1957,2,4.8,73,4.0,NA,163.5,3.5,4.8,161,166,0,22,Skidegate Inlet,53.2277,-131.9917
1957,0,0,0,0,0,NA,NA,NA,NA,NA,0,23,Naden Harbour,NA,NA
1957,0,0,0,0,0,NA,NA,NA,NA,NA,0,24,Laskeek Bay,NA,NA
1957,0,0,0,0,0,NA,NA,NA,NA,NA,0,25,Skincuttle Inlet,NA,NA
1958,0,0,0,0,0,NA,NA,NA,NA,NA,0,1,Tasu Sound & Gowgaia Bay,NA,NA
1958,0,0,0,0,0,NA,NA,NA,NA,NA,0,2,Englefield Bay,NA,NA
1958,1,151.4,804,5.0,NA,91.0,0,151.4,91,91,0,3,Rennell Sound,53.3442,-132.4728
1958,0,0,0,0,0,NA,NA,NA,NA,NA,0,4,Cartwright Sound,NA,NA
1958,1,5.4,229,3.0,NA,95.0,0,5.4,95,95,0,5,Juan Perez Sound West,53.0569,-132.2769
1958,0,0,0,0,0,NA,NA,NA,NA,NA,0,6,Louscoone Inlet,NA,NA
1958,0,0,0,0,0,NA,NA,NA,NA,NA,0,11,Masset Inlet,NA,NA
1958,0,0,0,0,0,NA,NA,NA,NA,NA,0,12,Cumshewa Inlet,NA,NA
1958,1,670.6,1828,9.0,NA,81.0,0,670.6,81,81,0,21,Juan Perez Sound,52.3775,-131.3569
1958,1,14.6,183,7.0,NA,112.0,0,14.6,112,112,0,22,Skidegate Inlet,53.2483,-131.9864
1958,0,0,0,0,0,NA,NA,NA,NA,NA,0,23,Naden Harbour,NA,NA
1958,0,0,0,0,0,NA,NA,NA,NA,NA,0,24,Laskeek Bay,NA,NA
1958,2,144.0,731,5.0,NA,84.0,4.2,144.0,81,87,0,25,Skincuttle Inlet,52.3107,-131.269
1959,1,124.0,5850,9.0,NA,100.0,0,124.0,100,100,0,1,Tasu Sound & Gowgaia Bay,52.8208,-132.0614
1959,1,211.7,3290,14.0,NA,87.0,0,211.7,87,87,0,2,Englefield Bay,53.5969,-132.8828
1959,3,1270.4,4935,6.0,NA,84.0,0.0,1270.4,84,84,0,3,Rennell Sound,53.4028,-132.6542
1959,0,0,0,0,0,NA,NA,NA,NA,NA,0,4,Cartwright Sound,NA,NA
1959,1,309.9,3656,7.0,NA,100.0,0,309.9,100,100,0,5,Juan Perez Sound West,53.0075,-132.2783
1959,1,638.2,3199,9.0,NA,97.0,0,638.2,97,97,0,6,Louscoone Inlet,52.1708,-131.2294
1959,0,0,0,0,0,NA,NA,NA,NA,NA,0,11,Masset Inlet,NA,NA
1959,0,0,0,0,0,NA,NA,NA,NA,NA,0,12,Cumshewa Inlet,NA,NA
1959,1,490.6,1828,11.0,NA,78.0,0,490.6,78,78,0,21,Juan Perez Sound,52.3775,-131.3569
1959,3,122.9,1691,9.0,NA,108.7,2.9,122.9,107,112,0,22,Skidegate Inlet,53.2284,-131.969
1959,0,0,0,0,0,NA,NA,NA,NA,NA,0,23,Naden Harbour,NA,NA
1959,1,1288.4,5667,11.0,NA,108.0,0,1288.4,108,108,0,24,Laskeek Bay,52.6997,-131.5625
1959,4,6564.1,14076,10.2,NA,81.0,6.0,6564.1,78,90,0,25,Skincuttle Inlet,52.3313,-131.3308
1960,1,7.9,274,9.0,NA,97.0,0,7.9,97,97,0,1,Tasu Sound & Gowgaia Bay,52.8208,-132.0614
1960,1,396.8,1737,23.0,NA,90.0,0,396.8,90,90,0,2,Englefield Bay,53.6989,-132.9508
1960,2,1127.7,3747,11.0,NA,88.0,2.8,1127.7,86,90,0,3,Rennell Sound,53.3442,-132.4728
1960,0,0,0,0,0,NA,NA,NA,NA,NA,0,4,Cartwright Sound,NA,NA
1960,1,36.7,229,32.0,NA,95.0,0,36.7,95,95,0,5,Juan Perez Sound West,53.0075,-132.2783
1960,3,2163.3,6124,33.7,NA,97.7,0.6,2163.3,97,98,0,6,Louscoone Inlet,52.1708,-131.2294
1960,0,0,0,0,0,NA,NA,NA,NA,NA,0,11,Masset Inlet,NA,NA
1960,0,0,0,0,0,NA,NA,NA,NA,NA,0,12,Cumshewa Inlet,NA,NA
1960,1,2415.4,4753,18.0,NA,84.0,0,2415.4,84,84,0,21,Juan Perez Sound,52.3775,-131.3569
1960,6,104.5,1601,17.5,NA,122.5,18.4,104.5,99,146,0,22,Skidegate Inlet,53.2332,-131.976
1960,0,0,0,0,0,NA,NA,NA,NA,NA,0,23,Naden Harbour,NA,NA
1960,1,120.0,731,27.0,NA,115.0,0,120.0,115,115,0,24,Laskeek Bay,52.6964,-131.6267
1960,1,1900.2,3108,18.0,NA,84.0,0,1900.2,84,84,0,25,Skincuttle Inlet,52.3081,-131.3394
1961,1,67.2,5004,5.0,NA,87.0,0,67.2,87,87,0,1,Tasu Sound & Gowgaia Bay,52.7969,-131.9983
1961,2,134.6,1600,24.0,NA,97.5,21.9,134.6,82,113,0,2,Englefield Bay,53.6479,-132.9168
1961,2,283.1,2056,11.0,NA,87.0,0.0,283.1,87,87,0,3,Rennell Sound,53.3442,-132.4728
1961,0,0,0,0,0,NA,NA,NA,NA,NA,0,4,Cartwright Sound,NA,NA
1961,1,73.6,1371,27.0,NA,87.0,0,73.6,87,87,0,5,Juan Perez Sound West,53.0364,-132.4294
1961,3,1176.4,7221,5.0,NA,83.0,0.0,1176.4,83,83,0,6,Louscoone Inlet,52.1708,-131.2294
1961,0,0,0,0,0,NA,NA,NA,NA,NA,0,11,Masset Inlet,NA,NA
1961,0,0,0,0,0,NA,NA,NA,NA,NA,0,12,Cumshewa Inlet,NA,NA
1961,2,3212.2,15615,5.0,NA,85.0,0.0,3212.2,85,85,0,21,Juan Perez Sound,52.4003,-131.3597
1961,3,981.9,6033,29.7,NA,129.0,4.6,981.9,125,134,0,22,Skidegate Inlet,53.2243,-132.0025
1961,0,0,0,0,0,NA,NA,NA,NA,NA,0,23,Naden Harbour,NA,NA
1961,0,0,0,0,0,NA,NA,NA,NA,NA,0,24,Laskeek Bay,NA,NA
1961,2,4592.9,6033,15.0,NA,85.0,0.0,4592.9,85,85,0,25,Skincuttle Inlet,52.3267,-131.306
1962,1,31.8,1097,18.0,NA,86.0,0,31.8,86,86,0,1,Tasu Sound & Gowgaia Bay,52.8208,-132.0614
1962,2,835.3,3656,68.5,NA,82.5,0.7,835.3,82,83,0,2,Englefield Bay,53.6989,-132.9508
1962,2,785.0,6581,14.0,NA,81.0,0.0,785.0,81,81,0,3,Rennell Sound,53.3444,-132.4924
1962,0,0,0,0,0,NA,NA,NA,NA,NA,0,4,Cartwright Sound,NA,NA
1962,3,63.2,1280,11.3,NA,87.0,1.0,63.2,86,88,0,5,Juan Perez Sound West,53.0501,-132.3278
1962,1,547.0,2742,14.0,NA,96.0,0,547.0,96,96,0,6,Louscoone Inlet,52.1708,-131.2294
1962,0,0,0,0,0,NA,NA,NA,NA,NA,0,11,Masset Inlet,NA,NA
1962,0,0,0,0,0,NA,NA,NA,NA,NA,0,12,Cumshewa Inlet,NA,NA
1962,2,1208.8,3656,10.0,NA,81.5,2.1,1208.8,80,83,0,21,Juan Perez Sound,52.4003,-131.3597
1962,6,163.7,3610,9.3,NA,138.0,4.6,163.7,132,141,0,22,Skidegate Inlet,53.2351,-132.0088
1962,0,0,0,0,0,NA,NA,NA,NA,NA,0,23,Naden Harbour,NA,NA
1962,1,37.6,548,9.0,NA,81.0,0,37.6,81,81,0,24,Laskeek Bay,52.8756,-131.9897
1962,4,3936.8,8408,82.2,NA,80.8,1.5,3936.8,80,83,0,25,Skincuttle Inlet,52.3094,-131.3042
1963,0,0,0,0,0,NA,NA,NA,NA,NA,0,1,Tasu Sound & Gowgaia Bay,NA,NA
1963,10,1436.3,8592,7.0,NA,84.0,0.0,1436.3,84,84,0,2,Englefield Bay,53.6989,-132.9508
1963,0,0,0,0,0,NA,NA,NA,NA,NA,0,3,Rennell Sound,NA,NA
1963,0,0,0,0,0,NA,NA,NA,NA,NA,0,4,Cartwright Sound,NA,NA
1963,0,0,0,0,0,NA,NA,NA,NA,NA,0,5,Juan Perez Sound West,NA,NA
1963,0,0,0,0,0,NA,NA,NA,NA,NA,0,6,Louscoone Inlet,NA,NA
1963,0,0,0,0,0,NA,NA,NA,NA,NA,0,11,Masset Inlet,NA,NA
1963,0,0,0,0,0,NA,NA,NA,NA,NA,0,12,Cumshewa Inlet,NA,NA
1963,1,68.6,548,9.0,NA,87.0,0,68.6,87,87,0,21,Juan Perez Sound,52.4231,-131.3625
1963,4,43.2,1197,5.5,NA,135.0,8.8,43.2,129,148,0,22,Skidegate Inlet,53.2263,-131.9826
1963,0,0,0,0,0,NA,NA,NA,NA,NA,0,23,Naden Harbour,NA,NA
1963,1,12.6,183,9.0,NA,111.0,0,12.6,111,111,0,24,Laskeek Bay,52.8756,-131.9897
1963,6,7215.9,11379,19.5,NA,85.3,3.5,7215.9,81,90,0,25,Skincuttle Inlet,52.3499,-131.2678
1964,1,6.8,503,9.0,NA,84.0,0,6.8,84,84,0,1,Tasu Sound & Gowgaia Bay,52.8208,-132.0614
1964,7,301.0,5604,7.3,NA,86.0,0.0,301.0,86,86,0,2,Englefield Bay,53.6843,-132.9411
1964,2,555.3,2221,11.5,NA,86.5,2.1,555.3,85,88,0,3,Rennell Sound,53.3231,-132.4526
1964,1,70.6,676,27.0,NA,84.0,0,70.6,84,84,0,4,Cartwright Sound,53.1464,-132.3597
1964,2,35.2,595,22.5,NA,93.5,16.3,35.2,82,105,0,5,Juan Perez Sound West,53.0425,-132.3275
1964,4,909.1,4753,14.8,NA,62.0,3.5,909.1,59,67,0,6,Louscoone Inlet,52.1708,-131.2294
1964,0,0,0,0,0,NA,NA,NA,NA,NA,0,11,Masset Inlet,NA,NA
1964,0,0,0,0,0,NA,NA,NA,NA,NA,0,12,Cumshewa Inlet,NA,NA
1964,3,2553.4,6855,23.0,NA,74.3,7.5,2553.4,70,83,0,21,Juan Perez Sound,52.3881,-131.3752
1964,4,465.1,2651,14.8,NA,111.0,13.7,465.1,102,131,0,22,Skidegate Inlet,53.2337,-132.0183
1964,0,0,0,0,0,NA,NA,NA,NA,NA,0,23,Naden Harbour,NA,NA
1964,0,0,0,0,0,NA,NA,NA,NA,NA,0,24,Laskeek Bay,NA,NA
1964,2,642.0,1371,22.5,NA,76.0,1.4,642.0,75,77,0,25,Skincuttle Inlet,52.3003,-131.3076
1965,0,0,0,0,0,NA,NA,NA,NA,NA,0,1,Tasu Sound & Gowgaia Bay,NA,NA
1965,0,0,0,0,0,NA,NA,NA,NA,NA,0,2,Englefield Bay,NA,NA
1965,1,211.8,914,9.0,NA,80.0,0,211.8,80,80,0,3,Rennell Sound,NA,NA
1965,1,47.7,457,5.0,NA,110.0,0,47.7,110,110,0,4,Cartwright Sound,53.1464,-132.3597
1965,1,180.0,1554,9.0,NA,103.0,0,180.0,103,103,0,5,Juan Perez Sound West,53.0569,-132.2769
1965,2,169.0,1828,9.0,NA,79.0,0.0,169.0,79,79,0,6,Louscoone Inlet,52.1708,-131.2294
1965,0,0,0,0,0,NA,NA,NA,NA,NA,0,11,Masset Inlet,NA,NA
1965,0,0,0,0,0,NA,NA,NA,NA,NA,0,12,Cumshewa Inlet,NA,NA
1965,2,938.7,2559,9.0,NA,94.0,0.0,938.7,94,94,0,21,Juan Perez Sound,52.3775,-131.3569
1965,1,0.3,18,5.0,NA,140.0,0,0.3,140,140,0,22,Skidegate Inlet,53.2483,-131.9864
1965,0,0,0,0,0,NA,NA,NA,NA,NA,0,23,Naden Harbour,NA,NA
1965,2,270.6,1828,7.0,NA,87.0,1.4,270.6,86,88,0,24,Laskeek Bay,52.8756,-131.9897
1965,0,0,0,0,0,NA,NA,NA,NA,NA,0,25,Skincuttle Inlet,NA,NA
1966,0,0,0,0,0,NA,NA,NA,NA,NA,0,1,Tasu Sound & Gowgaia Bay,NA,NA
1966,5,14.1,301,23.0,NA,90.0,0.0,14.1,90,90,0,2,Englefield Bay,53.6989,-132.9508
1966,2,7.2,137,4.0,NA,91.0,0.0,7.2,91,91,0,3,Rennell Sound,53.3442,-132.4728
1966,0,0,0,0,0,NA,NA,NA,NA,NA,0,4,Cartwright Sound,NA,NA
1966,1,2.2,91,9.0,NA,104.0,0,2.2,104,104,0,5,Juan Perez Sound West,53.0413,-132.3419
1966,0,0,0,0,0,NA,NA,NA,NA,NA,0,6,Louscoone Inlet,NA,NA
1966,0,0,0,0,0,NA,NA,NA,NA,NA,0,11,Masset Inlet,NA,NA
1966,0,0,0,0,0,NA,NA,NA,NA,NA,0,12,Cumshewa Inlet,NA,NA
1966,8,2691.5,8591,27.0,NA,104.0,5.9,2691.5,95,111,0,21,Juan Perez Sound,52.3769,-131.3611
1966,2,97.4,457,18.0,NA,132.0,1.4,97.4,131,133,0,22,Skidegate Inlet,53.2331,-131.9883
1966,0,0,0,0,0,NA,NA,NA,NA,NA,0,23,Naden Harbour,NA,NA
1966,1,37.6,548,6.0,NA,95.0,0,37.6,95,95,0,24,Laskeek Bay,52.8756,-131.9897
1966,3,95.3,603,13.0,NA,99.0,7.8,95.3,94,108,0,25,Skincuttle Inlet,52.3472,-131.3617
1967,2,5.7,320,4.0,NA,96.0,0.0,5.7,96,96,0,1,Tasu Sound & Gowgaia Bay,52.8208,-132.0614
1967,9,203.0,4717,41.7,NA,85.0,3.6,203.0,81,88,0,2,Englefield Bay,53.6536,-132.9206
1967,0,0,0,0,0,NA,NA,NA,NA,NA,0,3,Rennell Sound,NA,NA
1967,0,0,0,0,0,NA,NA,NA,NA,NA,0,4,Cartwright Sound,NA,NA
1967,2,52.9,457,11.5,NA,86.0,0.0,52.9,86,86,0,5,Juan Perez Sound West,53.0413,-132.3419
1967,1,4.6,69,5.0,NA,84.0,0,4.6,84,84,0,6,Louscoone Inlet,52.1708,-131.2294
1967,0,0,0,0,0,NA,NA,NA,NA,NA,0,11,Masset Inlet,NA,NA
1967,0,0,0,0,0,NA,NA,NA,NA,NA,0,12,Cumshewa Inlet,NA,NA
1967,2,619.7,1463,34.5,NA,101.5,7.8,619.7,96,107,0,21,Juan Perez Sound,52.4092,-131.4117
1967,3,14.3,311,15.0,NA,127.7,23.7,14.3,114,155,0,22,Skidegate Inlet,53.2459,-131.8974
1967,3,58.9,389,18.7,NA,110.0,0.0,58.9,110,110,0,23,Naden Harbour,53.0324,-131.9384
1967,1,27.1,183,1.0,NA,107.0,0,27.1,107,107,0,24,Laskeek Bay,52.8756,-131.9897
1967,0,0,0,0,0,NA,NA,NA,NA,NA,0,25,Skincuttle Inlet,NA,NA
1968,0,0,0,0,0,NA,NA,NA,NA,NA,0,1,Tasu Sound & Gowgaia Bay,NA,NA
1968,1,0.8,27,5.0,NA,100.0,0,0.8,100,100,0,2,Englefield Bay,53.5969,-132.8828
1968,3,54.6,458,6.3,NA,105.0,0.0,54.6,105,105,0,3,Rennell Sound,53.3442,-132.4728
1968,0,0,0,0,0,NA,NA,NA,NA,NA,0,4,Cartwright Sound,NA,NA
1968,3,17.2,320,9.0,NA,95.0,13.9,17.2,79,103,0,5,Juan Perez Sound West,53.0413,-132.3419
1968,1,18.7,457,9.0,NA,102.0,0,18.7,102,102,0,6,Louscoone Inlet,52.1708,-131.2294
1968,6,195.9,2605,23.0,NA,171.0,7.8,195.9,161,177,0,11,Masset Inlet,53.6484,-132.5049
1968,0,0,0,0,0,NA,NA,NA,NA,NA,0,12,Cumshewa Inlet,NA,NA
1968,7,657.6,1851,8.0,NA,99.9,5.4,657.6,92,103,0,21,Juan Perez Sound,52.3657,-131.3656
1968,4,60.4,593,15.8,NA,137.0,8.5,60.4,129,149,0,22,Skidegate Inlet,53.245,-131.9705
1968,0,0,0,0,0,NA,NA,NA,NA,NA,0,23,Naden Harbour,NA,NA
1968,0,0,0,0,0,NA,NA,NA,NA,NA,0,24,Laskeek Bay,NA,NA
1968,3,156.9,480,6.0,NA,93.3,1.2,156.9,92,94,0,25,Skincuttle Inlet,52.3321,-131.3537
1969,1,0.8,137,5.0,NA,102.0,0,0.8,102,102,0,1,Tasu Sound & Gowgaia Bay,52.7969,-131.9983
1969,4,59.5,1417,11.0,NA,95.5,0.6,59.5,95,96,0,2,Englefield Bay,53.6456,-132.9226
1969,1,211.9,823,27.0,NA,98.0,0,211.9,98,98,0,3,Rennell Sound,53.3442,-132.4728
1969,0,0,0,0,0,NA,NA,NA,NA,NA,0,4,Cartwright Sound,NA,NA
1969,2,320.9,2879,7.0,NA,102.0,7.1,320.9,97,107,0,5,Juan Perez Sound West,53.0256,-132.2957
1969,0,0,0,0,0,NA,NA,NA,NA,NA,0,6,Louscoone Inlet,NA,NA
1969,0,0,0,0,0,NA,NA,NA,NA,NA,0,11,Masset Inlet,NA,NA
1969,0,0,0,0,0,NA,NA,NA,NA,NA,0,12,Cumshewa Inlet,NA,NA
1969,1,1764.9,3473,23.0,NA,119.0,0,1764.9,119,119,0,21,Juan Perez Sound,52.3775,-131.3569
1969,6,390.7,2423,27.3,NA,151.8,21.7,390.7,128,174,0,22,Skidegate Inlet,53.2542,-131.9908
1969,0,0,0,0,0,NA,NA,NA,NA,NA,0,23,Naden Harbour,NA,NA
1969,0,0,0,0,0,NA,NA,NA,NA,NA,0,24,Laskeek Bay,NA,NA
1969,1,310.0,366,69.0,NA,121.0,0,310.0,121,121,0,25,Skincuttle Inlet,52.3081,-131.3394
1970,0,0,0,0,0,NA,NA,NA,NA,NA,0,1,Tasu Sound & Gowgaia Bay,NA,NA
1970,3,139.6,1462,16.0,NA,98.3,6.7,139.6,91,104,0,2,Englefield Bay,53.6649,-132.9281
1970,3,185.3,1553,8.3,NA,92.0,0.0,185.3,92,92,0,3,Rennell Sound,53.3442,-132.4728
1970,0,0,0,0,0,NA,NA,NA,NA,NA,0,4,Cartwright Sound,NA,NA
1970,8,252.0,2787,6.0,NA,93.0,0.0,252.0,93,93,0,5,Juan Perez Sound West,53.0075,-132.2783
1970,3,158.0,915,48.7,NA,95.0,2.6,158.0,93,98,0,6,Louscoone Inlet,52.1708,-131.2294
1970,0,0,0,0,0,NA,NA,NA,NA,NA,0,11,Masset Inlet,NA,NA
1970,1,3.2,1206,2.0,NA,72.0,0,3.2,72,72,0,12,Cumshewa Inlet,53.995,-132.6169
1970,4,548.4,1532,57.0,NA,93.2,2.5,548.4,92,97,0,21,Juan Perez Sound,52.3718,-131.4016
1970,9,301.5,3244,20.3,NA,130.4,14.9,301.5,108,152,0,22,Skidegate Inlet,53.2541,-131.9873
1970,14,2575.8,6290,118.1,NA,92.8,4.7,2575.8,89,108,0,23,Naden Harbour,53.04,-131.7901
