Year,Num_Record,TotalCatch,CatchJan_Apr,CatchMay_Aug,CatchSep_Dec,Gillnet,Seine,Trawl,SOK,Section,Name,Latitude,Longitude
2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,Port Louis,52.82,-132.05
2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,Rennell Sound,53.35,-132.55
2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,Cartwright Sound,53.13,-132.4
2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,Englefield Bay,52.65,-132.3
2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,Louscoone Inlet,52.12,-131.3
2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,Masset Inlet,54.03,-132.13
2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,Naden Harbour,54.0,-132.7
2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,NA,NA,NA
2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,Juan Perez Sound,52.49,-131.42
2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,Skidegate Inlet,53.23,-131.98
2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,Cumshewa Inlet,53.1,-131.62
2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,Laskeek Bay,53.03,-131.52
2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,Skincuttle Inlet,52.39,-131.17
2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,29,NA,NA,NA
2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Tasu Sound & Gowgaia Bay,52.406,-131.52
2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,Port Louis,52.82,-132.05
2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,Rennell Sound,53.35,-132.55
2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,Cartwright Sound,53.13,-132.4
2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,Englefield Bay,52.65,-132.3
2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,Louscoone Inlet,52.12,-131.3
2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,Masset Inlet,54.03,-132.13
2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,Naden Harbour,54.0,-132.7
2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,NA,NA,NA
2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,Juan Perez Sound,52.49,-131.42
2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,Skidegate Inlet,53.23,-131.98
2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,Cumshewa Inlet,53.1,-131.62
2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,Laskeek Bay,53.03,-131.52
2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,Skincuttle Inlet,52.39,-131.17
2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,29,NA,NA,NA
