year,section,section_name,totalrecords,spawn_index_tonnes,total_length,mean_width,spawn_date_xbar,spawn_date_sd,spawn_date_min,spawn_date_max,dive_survey_pct,latitude,longitude
1952,25,Skincuttle Inlet,1,625.484640011211,1097,82,100,NA,100,100,0,52.347778,-131.225556
1953,1,Tasu Sound & Gowgaia Bay,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
1953,2,Port Louis,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
1953,3,Rennell Sound,2,93.883057880472,2084,22.5,101,0,101,101,0,53.4729165,-132.71125
1953,4,Cartwright Sound,1,109.01967373836,484,9,101,NA,101,101,0,53.164167,-132.461944
1953,5,Englefield Bay,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
1953,6,Louscoone Inlet,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
1953,11,Masset Inlet,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
1953,12,Naden Harbour,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
1953,21,Juan Perez Sound,2,208.660475057868,960,7.5,91,0,91,91,0,52.400278,-131.359722
1953,22,Skidegate Inlet,10,237.04794890125,3894,5.2,138.9,11.948500603283522,118,163,0,53.2349619,-131.9784189
1953,23,Cumshewa Inlet,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
1953,24,Laskeek Bay,3,203.923027737966,2468,18,121.33333333333331,0.5773502691896257,121,122,0,52.84370366666666,-131.87129633333333
1953,25,Skincuttle Inlet,3,7142.410479230704,12141,22.666666666666668,92,1,91,93,0,52.33096033333333,-131.30005533333335
1954,1,Tasu Sound & Gowgaia Bay,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
1954,2,Port Louis,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
1954,3,Rennell Sound,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
1954,4,Cartwright Sound,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
1954,5,Englefield Bay,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
1954,6,Louscoone Inlet,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
1954,11,Masset Inlet,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
1954,12,Naden Harbour,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
1954,21,Juan Perez Sound,3,3970.4656264983,11425,8.666666666666666,92.33333333333331,2.0816659994661326,90,94,0,52.3875,-131.37092566666666
1954,22,Skidegate Inlet,10,229.099472134256,2296,6.7,144.4,20.51665989710151,127,176,0,53.2362953,-132.0061063
1954,23,Cumshewa Inlet,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
1954,24,Laskeek Bay,4,2027.0253356665676,13846,11.5,111.75,10.242883708539637,105,127,0,52.834236,-131.87284725
1954,25,Skincuttle Inlet,2,6410.372634384539,8372,27,91,0,91,91,0,52.3348905,-131.311083
1955,1,Tasu Sound & Gowgaia Bay,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
1955,2,Port Louis,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
1955,3,Rennell Sound,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
1955,4,Cartwright Sound,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
1955,5,Englefield Bay,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
1955,6,Louscoone Inlet,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
1955,11,Masset Inlet,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
1955,12,Naden Harbour,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
1955,21,Juan Perez Sound,8,6199.036015281077,17183,6.625,94.5,6.48074069840786,91,105,0,52.41559175,-131.337280375
1955,22,Skidegate Inlet,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
1955,23,Cumshewa Inlet,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
1955,24,Laskeek Bay,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
1955,25,Skincuttle Inlet,2,238.01595335676797,1005,5.5,99,1.4142135623730951,98,100,0,52.2996055,-131.27177799999998
1956,1,Tasu Sound & Gowgaia Bay,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
1956,2,Port Louis,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
1956,3,Rennell Sound,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
1956,4,Cartwright Sound,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
1956,5,Englefield Bay,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
1956,6,Louscoone Inlet,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
1956,11,Masset Inlet,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
1956,12,Naden Harbour,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
1956,21,Juan Perez Sound,1,60.508235480615994,804,3,95,NA,95,95,0,52.3775,-131.356944
1956,22,Skidegate Inlet,3,0.3749746634479999,64,4.333333333333333,171,0,171,171,0,53.246124,-131.97986333333333
1956,23,Cumshewa Inlet,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
1956,24,Laskeek Bay,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
1956,25,Skincuttle Inlet,9,5981.8038545200525,20162,6.777777777777778,92.22222222222224,6.379219736334879,87,100,0,52.3074355,-131.282061375
1957,1,Tasu Sound & Gowgaia Bay,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
1957,2,Port Louis,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
1957,3,Rennell Sound,1,3.82021418688,183,5,91,NA,91,91,0,53.4875,-132.748611
1957,4,Cartwright Sound,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
1957,5,Englefield Bay,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
1957,6,Louscoone Inlet,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
1957,11,Masset Inlet,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
1957,12,Naden Harbour,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
1957,21,Juan Perez Sound,2,1592.005766561436,4708,8,95,0,95,95,0,52.3775,-131.356944
1957,22,Skidegate Inlet,2,4.770517819370001,73,4,163.5,3.5355339059327378,161,166,0,53.2276585,-131.9917395
1957,23,Cumshewa Inlet,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
1957,24,Laskeek Bay,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
1957,25,Skincuttle Inlet,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
1958,1,Tasu Sound & Gowgaia Bay,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
1958,2,Port Louis,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
1958,3,Rennell Sound,1,151.43559099647996,804,5,91,NA,91,91,0,53.344167,-132.472778
1958,4,Cartwright Sound,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
1958,5,Englefield Bay,1,5.442413953284,229,3,95,NA,95,95,0,53.056944,-132.276944
1958,6,Louscoone Inlet,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
1958,11,Masset Inlet,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
1958,12,Naden Harbour,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
1958,21,Juan Perez Sound,1,670.567528030824,1828,9,81,NA,81,81,0,52.3775,-131.356944
1958,22,Skidegate Inlet,1,14.596941756516,183,7,112,NA,112,112,0,53.248333,-131.986389
1958,23,Cumshewa Inlet,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
1958,24,Laskeek Bay,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
1958,25,Skincuttle Inlet,2,143.9643958388,731,5,84,4.242640687119285,81,87,0,52.3106945,-131.269028
1959,1,Tasu Sound & Gowgaia Bay,1,123.95963721959995,5850,9,100,NA,100,100,0,52.820833,-132.061389
1959,2,Port Louis,1,211.7324242026,3290,14,87,NA,87,87,0,53.596944,-132.882778
1959,3,Rennell Sound,3,1270.3945452156,4935,6,84,0,84,84,0,53.402778,-132.654167
1959,4,Cartwright Sound,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
1959,5,Englefield Bay,1,309.877903367424,3656,7,100,NA,100,100,0,53.0075,-132.278333
1959,6,Louscoone Inlet,1,638.2155858889859,3199,9,97,NA,97,97,0,52.170833,-131.229444
1959,11,Masset Inlet,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
1959,12,Naden Harbour,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
1959,21,Juan Perez Sound,1,490.640013665088,1828,11,78,NA,78,78,0,52.3775,-131.356944
1959,22,Skidegate Inlet,3,122.85400474999798,1691,9,108.66666666666669,2.8867513459481287,107,112,0,53.228426,-131.96898033333332
1959,23,Cumshewa Inlet,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
1959,24,Laskeek Bay,1,1288.351561246254,5667,11,108,NA,108,108,0,52.699722,-131.5625
1959,25,Skincuttle Inlet,4,6564.060882111068,14076,10.25,81,6,78,90,0,52.33126475,-131.33081925
1960,1,Tasu Sound & Gowgaia Bay,1,7.935139180601999,274,9,97,NA,97,97,0,52.820833,-132.061389
1960,2,Port Louis,1,396.843840116019,1737,23,90,NA,90,90,0,53.698889,-132.950833
1960,3,Rennell Sound,2,1127.74181309472,3747,11,88,2.8284271247461903,86,90,0,53.344167,-132.472778
1960,4,Cartwright Sound,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
1960,5,Englefield Bay,1,36.749292501528,229,32,95,NA,95,95,0,53.0075,-132.278333
1960,6,Louscoone Inlet,3,2163.2644893239844,6124,33.666666666666664,97.66666666666669,0.5773502691896257,97,98,0,52.170833,-131.229444
1960,11,Masset Inlet,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
1960,12,Naden Harbour,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
1960,21,Juan Perez Sound,1,2415.369983941404,4753,18,84,NA,84,84,0,52.3775,-131.356944
1960,22,Skidegate Inlet,6,104.529938854352,1601,17.5,122.5,18.403803954617644,99,146,0,53.2331945,-131.97597233333337
1960,23,Cumshewa Inlet,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
1960,24,Laskeek Bay,1,119.96347274615698,731,27,115,NA,115,115,0,52.696389,-131.626667
1960,25,Skincuttle Inlet,1,1900.18588358844,3108,18,84,NA,84,84,0,52.308056,-131.339444
1961,1,Tasu Sound & Gowgaia Bay,1,67.15346062464,5004,5,87,NA,87,87,0,52.796944,-131.998333
1961,2,Port Louis,2,134.63645572832002,1600,24,97.5,21.920310216782973,82,113,0,53.6479165,-132.9168055
1961,3,Rennell Sound,2,283.10667606864,2056,11,87,0,87,87,0,53.344167,-132.472778
1961,4,Cartwright Sound,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
1961,5,Englefield Bay,1,73.59503958144,1371,27,87,NA,87,87,0,53.036389,-132.429444
1961,6,Louscoone Inlet,3,1176.4090266837818,7221,5,83,0,83,83,0,52.170833,-131.229444
1961,11,Masset Inlet,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
1961,12,Naden Harbour,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
1961,21,Juan Perez Sound,2,3212.160377644068,15615,5,85,0,85,85,0,52.400278,-131.359722
1961,22,Skidegate Inlet,3,981.85280542461,6033,29.666666666666664,129,4.58257569495584,125,134,0,53.22428133333333,-132.00251733333334
1961,23,Cumshewa Inlet,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
1961,24,Laskeek Bay,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
1961,25,Skincuttle Inlet,2,4592.87177950884,6033,15,85,0,85,85,0,52.326667,-131.305972
1962,1,Tasu Sound & Gowgaia Bay,1,31.769517084380997,1097,18,86,NA,86,86,0,52.820833,-132.061389
1962,2,Port Louis,2,835.2683243892718,3656,68.5,82.5,0.7071067811865476,82,83,0,53.698889,-132.950833
1962,3,Rennell Sound,2,785.0376132352001,6581,14,81,0,81,81,0,53.344444499999994,-132.49236100000002
1962,4,Cartwright Sound,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
1962,5,Englefield Bay,3,63.235945592748,1280,11.333333333333334,87,1,86,88,0,53.05009233333333,-132.32777733333333
1962,6,Louscoone Inlet,1,547.0419307619879,2742,14,96,NA,96,96,0,52.170833,-131.229444
1962,11,Masset Inlet,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
1962,12,Naden Harbour,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
1962,21,Juan Perez Sound,2,1208.750132592744,3656,10,81.5,2.1213203435596424,80,83,0,52.400278,-131.359722
1962,22,Skidegate Inlet,6,163.70531682825197,3610,9.333333333333334,138,4.6475800154489,132,141,0,53.2351035,-132.0087586666667
1962,23,Cumshewa Inlet,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
1962,24,Laskeek Bay,1,37.58780609792,548,9,81,NA,81,81,0,52.875556,-131.989722
1962,25,Skincuttle Inlet,4,3936.8496486056897,8408,82.25,80.75,1.5,80,83,0,52.30937525,-131.304236
1963,1,Tasu Sound & Gowgaia Bay,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
1963,2,Port Louis,10,1436.2648701300477,8592,7,84,0,84,84,0,53.698889,-132.950833
1963,3,Rennell Sound,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
1963,4,Cartwright Sound,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
1963,5,Englefield Bay,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
1963,6,Louscoone Inlet,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
1963,11,Masset Inlet,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
1963,12,Naden Harbour,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
1963,21,Juan Perez Sound,1,68.63860243968,548,9,87,NA,87,87,0,52.423056,-131.3625
1963,22,Skidegate Inlet,4,43.179951127088,1197,5.5,135,8.831760866327848,129,148,0,53.22631925,-131.98256775
1963,23,Cumshewa Inlet,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
1963,24,Laskeek Bay,1,12.55213232832,183,9,111,NA,111,111,0,52.875556,-131.989722
1963,25,Skincuttle Inlet,6,7215.866758215087,11379,19.5,85.33333333333333,3.5023801430836525,81,90,0,52.34986133333334,-131.26782400000002
1964,1,Tasu Sound & Gowgaia Bay,1,6.750237948480001,503,9,84,NA,84,84,0,52.820833,-132.061389
1964,2,Port Louis,7,301.03080400307,5604,7.285714285714286,86,0,86,86,0,53.68432542857143,-132.94111085714286
1964,3,Rennell Sound,2,555.3036057803198,2221,11.5,86.5,2.1213203435596424,85,88,0,53.323055499999995,-132.452639
1964,4,Cartwright Sound,1,70.5591472768,676,27,84,NA,84,84,0,53.146389,-132.359722
1964,5,Englefield Bay,2,35.226047492603996,595,22.5,93.5,16.263455967290593,82,105,0,53.0424555,-132.32750299999998
1964,6,Louscoone Inlet,4,909.063371074098,4753,14.75,62,3.4641016151377544,59,67,0,52.170833,-131.229444
1964,11,Masset Inlet,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
1964,12,Naden Harbour,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
1964,21,Juan Perez Sound,3,2553.35723627553,6855,23,74.33333333333333,7.505553499465135,70,83,0,52.388055666666666,-131.375185
1964,22,Skidegate Inlet,4,465.113344032244,2651,14.75,111,13.73559851869101,102,131,0,53.23374975,-132.018263
1964,23,Cumshewa Inlet,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
1964,24,Laskeek Bay,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
1964,25,Skincuttle Inlet,2,641.97964343058,1371,22.5,76,1.4142135623730951,75,77,0,52.300307,-131.307611
1965,1,Tasu Sound & Gowgaia Bay,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
1965,2,Port Louis,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
1965,3,Rennell Sound,1,211.75816674657597,914,9,80,NA,80,80,0,NA,NA
1965,4,Cartwright Sound,1,47.7004886176,457,5,110,NA,110,110,0,53.146389,-132.359722
1965,5,Englefield Bay,1,180.01761002416796,1554,9,103,NA,103,103,0,53.056944,-132.276944
1965,6,Louscoone Inlet,2,168.99601681664,1828,9,79,0,79,79,0,52.170833,-131.229444
1965,11,Masset Inlet,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
1965,12,Naden Harbour,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
1965,21,Juan Perez Sound,2,938.721172992822,2559,9,94,0,94,94,0,52.3775,-131.356944
1965,22,Skidegate Inlet,1,0.2683991232,18,5,140,NA,140,140,0,53.248333,-131.986389
1965,23,Cumshewa Inlet,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
1965,24,Laskeek Bay,2,270.579879731736,1828,7,87,1.4142135623730951,86,88,0,52.875556,-131.989722
1965,25,Skincuttle Inlet,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
1966,1,Tasu Sound & Gowgaia Bay,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
1966,2,Port Louis,5,14.108421712231,301,23,90,0,90,90,0,53.698889,-132.950833
1966,3,Rennell Sound,2,7.23542660456,137,4,91,0,91,91,0,53.344167,-132.472778
1966,4,Cartwright Sound,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
1966,5,Englefield Bay,1,2.162705981436,91,9,104,NA,104,104,0,53.0413,-132.34195
1966,6,Louscoone Inlet,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
1966,11,Masset Inlet,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
1966,12,Naden Harbour,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
1966,21,Juan Perez Sound,8,2691.5182845670556,8591,27,104,5.9281411203561225,95,111,0,52.3769445,-131.361145625
1966,22,Skidegate Inlet,2,97.434486606852,457,18,132,1.4142135623730951,131,133,0,53.233055500000006,-131.9883335
1966,23,Cumshewa Inlet,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
1966,24,Laskeek Bay,1,37.58780609792,548,6,95,NA,95,95,0,52.875556,-131.989722
1966,25,Skincuttle Inlet,3,95.273958043348,603,13,99,7.810249675906654,94,108,0,52.347222,-131.361667
1967,1,Tasu Sound & Gowgaia Bay,2,5.708562900183,320,4,96,0,96,96,0,52.820833,-132.061389
1967,2,Port Louis,9,203.004695608536,4717,41.66666666666667,85,3.570714214271425,81,88,0,53.65358011111111,-132.92058633333332
1967,3,Rennell Sound,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
1967,4,Cartwright Sound,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
1967,5,Englefield Bay,2,52.93954168664399,457,11.5,86,0,86,86,0,53.0413,-132.34195
1967,6,Louscoone Inlet,1,4.601345768088,69,5,84,NA,84,84,0,52.170833,-131.229444
1967,11,Masset Inlet,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
1967,12,Naden Harbour,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
1967,21,Juan Perez Sound,2,619.686171204156,1463,34.5,101.5,7.7781745930520225,96,107,0,52.409167,-131.411667
1967,22,Skidegate Inlet,3,14.283222450498,311,15,127.66666666666669,23.671361036774655,114,155,0,53.245924333333335,-131.89740633333332
1967,23,Cumshewa Inlet,3,58.859492745048,389,18.666666666666668,110,0,110,110,0,53.032407,-131.93842600000002
1967,24,Laskeek Bay,1,27.087591898745995,183,1,107,NA,107,107,0,52.875556,-131.989722
1967,25,Skincuttle Inlet,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
1968,1,Tasu Sound & Gowgaia Bay,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
1968,2,Port Louis,1,0.8051973695999999,27,5,100,NA,100,100,0,53.596944,-132.882778
1968,3,Rennell Sound,3,54.6341326336,458,6.333333333333333,105,0,105,105,0,53.344167,-132.472778
1968,4,Cartwright Sound,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
1968,5,Englefield Bay,3,17.177543884800002,320,9,95,13.856406460551018,79,103,0,53.0413,-132.34195
1968,6,Louscoone Inlet,1,18.705162172774,457,9,102,NA,102,102,0,52.170833,-131.229444
1968,11,Masset Inlet,6,195.87351113672,2605,23,171,7.797435475847171,161,177,0,53.648426,-132.50490733333334
1968,12,Naden Harbour,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
1968,21,Juan Perez Sound,7,657.590077749786,1851,8,99.85714285714286,5.367450401216932,92,103,0,52.36567457142857,-131.36555542857144
1968,22,Skidegate Inlet,4,60.43083830645399,593,15.75,137,8.48528137423857,129,149,0,53.245022000000006,-131.97050000000002
1968,23,Cumshewa Inlet,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
1968,24,Laskeek Bay,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
1968,25,Skincuttle Inlet,3,156.89262460780998,480,6,93.33333333333331,1.1547005383792517,92,94,0,52.332076,-131.35366633333334
1969,1,Tasu Sound & Gowgaia Bay,1,0.8139854930129999,137,5,102,NA,102,102,0,52.796944,-131.998333
1969,2,Port Louis,4,59.468992788872995,1417,11,95.5,0.5773502691896257,95,96,0,53.6455555,-132.92256924999998
1969,3,Rennell Sound,1,211.86113692247997,823,27,98,NA,98,98,0,53.344167,-132.472778
1969,4,Cartwright Sound,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
1969,5,Englefield Bay,2,320.893192091916,2879,7,102,7.0710678118654755,97,107,0,53.0255555,-132.2956945
1969,6,Louscoone Inlet,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
1969,11,Masset Inlet,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
1969,12,Naden Harbour,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
1969,21,Juan Perez Sound,1,1764.902157422364,3473,23,119,NA,119,119,0,52.3775,-131.356944
1969,22,Skidegate Inlet,6,390.7194383442461,2423,27.333333333333336,151.83333333333334,21.729396371428884,128,174,0,53.2541815,-131.9907905
1969,23,Cumshewa Inlet,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
1969,24,Laskeek Bay,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
1969,25,Skincuttle Inlet,1,309.98857357548,366,69,121,NA,121,121,0,52.308056,-131.339444
1970,1,Tasu Sound & Gowgaia Bay,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
1970,2,Port Louis,3,139.58635090987997,1462,16,98.33333333333331,6.658328118479393,91,104,0,53.66490733333333,-132.928148
1970,3,Rennell Sound,3,185.2550392576,1553,8.333333333333334,92,0,92,92,0,53.344167,-132.472778
1970,4,Cartwright Sound,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
1970,5,Englefield Bay,8,252.018853631388,2787,6,93,0,93,93,0,53.0075,-132.278333
1970,6,Louscoone Inlet,3,158.030961443924,915,48.666666666666664,95,2.6457513110645907,93,98,0,52.170833,-131.229444
1970,11,Masset Inlet,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
1970,12,Naden Harbour,1,3.184643972664,1206,2,72,NA,72,72,0,53.995,-132.616944
1970,21,Juan Perez Sound,4,548.4031628594939,1532,57,93.25,2.5,92,97,0,52.371755,-131.40161825
1970,22,Skidegate Inlet,9,301.453771967332,3244,20.333333333333336,130.44444444444446,14.900596557781764,108,152,0,53.25414555555555,-131.98728622222222
1970,23,Cumshewa Inlet,14,2575.84975001186,6290,118.14285714285714,92.78571428571428,4.67692488432585,89,108,0,53.04001985714285,-131.7900990714286
1970,24,Laskeek Bay,1,31.299715656818996,137,5,102,NA,102,102,0,52.716944,-131.815556
1970,25,Skincuttle Inlet,5,2238.58250705874,3199,82.4,95,2.7386127875258306,92,97,0,52.308056,-131.339444
1971,1,Tasu Sound & Gowgaia Bay,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
1971,2,Port Louis,1,42.840855298934,914,3,95,NA,95,95,0,53.698889,-132.950833
1971,3,Rennell Sound,6,416.87119418792,3336,18.833333333333336,104.83333333333331,0.408248290463863,104,105,0,53.3446295,-132.50541633333333
1971,4,Cartwright Sound,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
1971,5,Englefield Bay,7,143.818048102788,2238,9.142857142857142,102,0,102,102,0,53.017157142857144,-132.29650928571428
1971,6,Louscoone Inlet,1,821.8300278798398,5630,23,114,NA,114,114,0,52.170833,-131.229444
1971,11,Masset Inlet,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
1971,12,Naden Harbour,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
1971,21,Juan Perez Sound,1,5224.0300899426375,8043,27,95,NA,95,95,0,52.3775,-131.356944
1971,22,Skidegate Inlet,23,607.000638340276,5211,24.304347826086957,161.2608695652174,22.758050306538586,119,197,0,53.2367107826087,-132.00833791304348
