year,month,date,chla_mean,chla_median,chla_sd,n_cells,n_total,pct_valid,sensor
2016,10,2016-10-01,2.573952219095744,1.2311873,4.817598912118648,752,972,77.4,VIIRS
2016,11,2016-11-01,0.5238186930263158,0.406096185,0.49140443787016086,76,972,7.8,VIIRS
2016,12,2016-12-01,NA,NA,NA,0,972,0,VIIRS
2017,1,2017-01-01,0.5631684175,0.45046754,0.585742076479373,124,972,12.8,VIIRS
2017,2,2017-02-01,1.297278622162884,0.6241014,2.3469859714475603,749,972,77.1,VIIRS
2017,3,2017-03-01,0.7948868732541903,0.362986755,3.7943452709778014,716,972,73.7,VIIRS
2017,4,2017-04-01,1.7516179660869566,1.1994935500000001,3.5364476571500747,736,972,75.7,VIIRS
2017,5,2017-05-01,1.7753982954495908,1.2836569,3.129919932471761,734,972,75.5,VIIRS
2017,6,2017-06-01,1.5370079163347168,0.924046,1.8193900305448267,723,972,74.4,VIIRS
2017,7,2017-07-01,1.7629554796153848,0.983494915,3.482466155628732,702,972,72.2,VIIRS
2017,8,2017-08-01,2.311750811495327,1.0742277,3.7280622464998068,749,972,77.1,VIIRS
2017,9,2017-09-01,2.582730776529255,1.5418256000000001,3.2355444895587295,752,972,77.4,VIIRS
2017,10,2017-10-01,2.7873331304933338,1.3337443,5.12788301569323,750,972,77.2,VIIRS
2017,11,2017-11-01,2.0551868435164846,0.6502615,5.476117064037635,364,972,37.4,VIIRS
2017,12,2017-12-01,NA,NA,NA,0,972,0,VIIRS
2018,1,2018-01-01,0.20809667851351352,0.1606612,0.11189295123987926,37,972,3.8,VIIRS
2018,2,2018-02-01,1.4030433586142859,0.396979345,4.540874329170023,700,972,72,VIIRS
2018,3,2018-03-01,1.4020414149932883,0.68146706,3.774492776213228,745,972,76.6,VIIRS
2018,4,2018-04-01,1.6601148834776727,0.99848574,3.028435827195261,739,972,76,VIIRS
2018,5,2018-05-01,2.428455350604027,1.5480344,3.795511334885233,745,972,76.6,VIIRS
2018,6,2018-06-01,2.2056851437964236,1.530853,3.296213781981276,727,972,74.8,VIIRS
2018,7,2018-07-01,2.6076759014953286,1.6176547,3.862646863534659,749,972,77.1,VIIRS
2018,8,2018-08-01,3.0151640106914885,2.00824085,3.380028464265435,752,972,77.4,VIIRS
2018,9,2018-09-01,3.044790587201591,1.94456285,4.120037843851298,754,972,77.6,VIIRS
2018,10,2018-10-01,2.638491773270525,1.7230306,3.056497680241736,743,972,76.4,VIIRS
2018,11,2018-11-01,0.42191237015625,0.44089197999999996,0.09688118685027447,64,972,6.6,VIIRS
2018,12,2018-12-01,NA,NA,NA,0,972,0,VIIRS
2019,1,2019-01-01,NA,NA,NA,0,972,0,VIIRS
2019,2,2019-02-01,2.319727018477971,0.8568692,5.861347453812441,749,972,77.1,VIIRS
2019,3,2019-03-01,2.4672246361936327,1.1737627,4.358823922247201,754,972,77.6,VIIRS
2019,4,2019-04-01,2.8361990181635393,1.47110435,5.2457010480532835,746,972,76.7,VIIRS
2019,5,2019-05-01,4.022605789408602,2.6525221,4.738023828004742,744,972,76.5,VIIRS
2019,6,2019-06-01,2.7483347594843957,1.6249493,4.959449199077851,737,972,75.8,VIIRS
2019,7,2019-07-01,2.738060788990318,1.2978597,4.974279752090982,723,972,74.4,VIIRS
2019,8,2019-08-01,3.555699675845539,1.8528696,5.330701075056347,751,972,77.3,VIIRS
2019,9,2019-09-01,2.315506206915887,1.3525872,4.010200250209263,749,972,77.1,VIIRS
2019,10,2019-10-01,2.0204753478494624,0.894770065,4.537753403140919,744,972,76.5,VIIRS
2019,11,2019-11-01,1.6213213208,0.870739605,2.2758794815949677,50,972,5.1,VIIRS
2019,12,2019-12-01,NA,NA,NA,0,972,0,VIIRS
2020,1,2020-01-01,0.1345880686,0.13402692500000002,0.024555169864894155,10,972,1,VIIRS
2020,2,2020-02-01,0.40308016837619054,0.283896315,0.5826878464171356,630,972,64.8,VIIRS
2020,3,2020-03-01,1.6738590629388295,0.8494134,2.8012995403847056,752,972,77.4,VIIRS
2020,4,2020-04-01,1.2796646691228069,0.9516058,1.550893247529162,741,972,76.2,VIIRS
2020,5,2020-05-01,1.3906259935215053,0.95695235,2.7422956476408387,744,972,76.5,VIIRS
2020,6,2020-06-01,1.4006155581793103,1.1079681,1.7039376162674889,725,972,74.6,VIIRS
2020,7,2020-07-01,1.6844509354093566,1.2058287,2.018863642873608,684,972,70.4,VIIRS
2020,8,2020-08-01,0.8368628987092198,0.7306266,0.5650387809441927,705,972,72.5,VIIRS
2020,9,2020-09-01,2.651946984986666,1.8277109999999999,5.386642006562556,750,972,77.2,VIIRS
2020,10,2020-10-01,1.4066855955748663,0.9001804,1.921425681873908,748,972,77,VIIRS
2020,11,2020-11-01,0.8855674814814815,0.63952774,1.0616148851972245,135,972,13.9,VIIRS
2020,12,2020-12-01,NA,NA,NA,0,972,0,VIIRS
2021,1,2021-01-01,0.3309458969620253,0.30678472,0.08895956320572199,79,972,8.1,VIIRS
2021,2,2021-02-01,0.8197168207427789,0.4498576,1.6718800084220147,727,972,74.8,VIIRS
2021,3,2021-03-01,0.7302759528767124,0.5077966,1.0229637431669523,730,972,75.1,VIIRS
2021,4,2021-04-01,1.4576218429744279,1.1408324,1.5297553136179745,743,972,76.4,VIIRS
2021,5,2021-05-01,1.5253845410013716,1.1614064,2.174719339990301,729,972,75,VIIRS
2021,6,2021-06-01,1.5187515878389257,1.1319115,1.8704245456830622,745,972,76.6,VIIRS
2021,7,2021-07-01,1.6923129612465753,1.4318696,1.5043967941013572,730,972,75.1,VIIRS
2021,8,2021-08-01,1.8008960803183025,1.5402025,1.7251578341144587,754,972,77.6,VIIRS
2021,9,2021-09-01,1.1975252600970874,0.9685709,0.9981538337004826,721,972,74.2,VIIRS
2021,10,2021-10-01,0.9541473845161289,0.59581122500000006,1.3094975714969728,744,972,76.5,VIIRS
2021,11,2021-11-01,5.134142207017045,1.8277916,11.79734312882781,176,972,18.1,VIIRS
2021,12,2021-12-01,NA,NA,NA,0,972,0,VIIRS
2022,1,2022-01-03,0.252744157556962,0.24149811999999998,0.10763843809514773,158,972,16.3,VIIRS
2022,2,2022-02-01,0.9296009223782232,0.5460846500000001,2.766425333632858,698,972,71.8,VIIRS
2022,3,2022-03-01,0.8431892302953017,0.55622286,1.2112570436007553,745,972,76.6,VIIRS
2022,4,2022-04-01,1.0875806732582782,0.8136834,1.0709017416051305,755,972,77.7,VIIRS
2022,5,2022-05-01,1.1273717990675673,0.98469648,1.3150322143950846,740,972,76.1,VIIRS
2022,6,2022-06-01,1.267274965599455,0.95233688,1.2620503874790217,734,972,75.5,VIIRS
2022,7,2022-07-01,1.5124406830722892,1.19376135,1.3056908029504422,664,972,68.3,VIIRS
2022,8,2022-08-10,1.904152646786787,1.5300804499999998,1.704026966786605,666,972,68.5,VIIRS
2022,10,2022-10-01,1.0879955737193463,0.674346355,1.8519001826958161,734,972,75.5,VIIRS
2022,11,2022-11-01,0.5831932334328358,0.25476837,1.0638036598975802,201,972,20.7,VIIRS
2022,12,2022-12-01,NA,NA,NA,0,972,0,VIIRS
2023,1,2023-01-01,0.3887437855660377,0.34611505,0.12786173535756942,106,972,10.9,VIIRS
2023,3,2023-03-01,0.8418582954952509,0.53591317,0.9498435201259321,737,972,75.8,VIIRS
2023,4,2023-04-01,0.746905779236311,0.436410335,1.1773478709159302,694,972,71.4,VIIRS
2023,5,2023-05-01,1.879656513238096,1.4507613,1.687212929307448,735,972,75.6,VIIRS
2023,6,2023-06-01,1.5820659707713498,1.1878801,1.4782403920786973,726,972,74.7,VIIRS
2023,7,2023-07-01,1.4683636544444445,1.0469754,1.5903815880591414,729,972,75,VIIRS
2023,8,2023-08-01,1.2619011044444444,1.0438213,1.6590993171874218,729,972,75,VIIRS
2023,9,2023-09-01,1.212980177239011,0.8966658249999999,1.3723741621506056,728,972,74.9,VIIRS
2023,11,2023-11-01,0.5624033942253521,0.52361095,0.19178488977510305,71,972,7.3,VIIRS
2023,12,2023-12-01,NA,NA,NA,0,972,0,VIIRS
2024,1,2024-01-01,NA,NA,NA,0,972,0,VIIRS
2024,2,2024-02-01,1.7625552638400006,0.56014964,4.690713003479482,750,972,77.2,VIIRS
2024,3,2024-03-01,1.0115869608870969,0.61480105,1.4835068877320083,744,972,76.5,VIIRS
2024,4,2024-04-01,1.0653446630945942,0.8159872,0.9825095557270431,740,972,76.1,VIIRS
2024,5,2024-05-01,1.3703635047297296,1.10646165,1.4478300573823852,740,972,76.1,VIIRS
2024,6,2024-06-01,1.3631510811444143,0.87914729,2.2673042588165324,734,972,75.5,VIIRS
2024,7,2024-07-01,2.0695567528072627,1.06611765,3.9727229684506917,716,972,73.7,VIIRS
2024,8,2024-08-01,1.9937176521599997,1.47194525,2.8225218042366027,750,972,77.2,VIIRS
2024,9,2024-09-01,1.607252252510067,1.2706794,1.3561007240995238,745,972,76.6,VIIRS
2024,10,2024-10-01,1.176060034924138,0.6407995,2.3076147220581236,725,972,74.6,VIIRS
2024,11,2024-11-01,0.5907063625409836,0.54595155,0.28315675498579335,244,972,25.1,VIIRS
2024,12,2024-12-01,NA,NA,NA,0,972,0,VIIRS
2025,1,2025-01-01,NA,NA,NA,0,972,0,VIIRS
2025,2,2025-02-01,1.450550259392338,0.58553815,3.9065137933808964,757,972,77.9,VIIRS
2025,3,2025-03-01,0.7511420112933332,0.44837362999999997,0.9043103647773167,750,972,77.2,VIIRS
2025,4,2025-04-01,1.0765840085694824,0.789443315,0.8730897971090577,734,972,75.5,VIIRS
2025,5,2025-05-01,1.2898053960965516,1.12876,1.2817183655323536,725,972,74.6,VIIRS
2025,7,2025-07-01,4.882888618661616,1.812292,11.678681866739298,792,972,81.5,VIIRS
2025,8,2025-08-01,4.443526602035176,2.21972345,8.2773694256117,796,972,81.9,VIIRS
2025,9,2025-09-01,2.8417625552638195,1.3141441999999999,5.807012869305673,796,972,81.9,VIIRS
2025,10,2025-10-01,2.665280766498104,1.2931715,4.548780621241511,791,972,81.4,VIIRS
2025,11,2025-11-01,1.4404470203759399,0.65220386,3.9618474754930713,399,972,41,VIIRS
2025,12,2025-12-01,NA,NA,NA,0,972,0,VIIRS
2026,1,2026-01-01,0.20840501,0.20692718,0.00864860573097768,3,972,0.3,VIIRS
2026,2,2026-02-01,2.0066964583441136,0.624584,5.828427709247792,773,972,79.5,VIIRS
